index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat,yield_kg_per_ha_-10%,yield_kg_per_ha_+10%
1,1,3120,47.55670513,148376.92,Ventura,-119.1235692,34.25890847,42.80103462,52.31237564
2,2,2700,47.55670513,128403.1039,Ventura,-119.1563429,34.25391547,42.80103462,52.31237564
3,3,7840,47.55670513,372844.5682,Ventura,-119.1418967,34.2637488,42.80103462,52.31237564
4,4,10000,47.55670513,475567.0513,Ventura,-119.104911,34.2212826,42.80103462,52.31237564
5,5,4800,47.55670513,228272.1846,Watsonville,-121.6999652,36.91962572,42.80103462,52.31237564
6,6,5630,47.55670513,267744.2499,Watsonville,-121.7197945,36.943825,42.80103462,52.31237564
7,7,6900,47.55670513,328141.2654,Watsonville,-121.8072828,36.95930486,42.80103462,52.31237564
8,8,11600,47.55670513,551657.7795,Watsonville,-121.8335191,36.91586478,42.80103462,52.31237564
9,9,7300,47.55670513,347163.9474,Watsonville,-121.7480686,36.90428032,42.80103462,52.31237564
10,10,9730,47.55670513,462726.7409,Watsonville,-121.7480849,36.93073472,42.80103462,52.31237564
11,11,13000,47.55670513,618237.1667,Watsonville,-121.683162,36.92716262,42.80103462,52.31237564
12,12,7450,47.55670513,351919.618,Baja_Erendira,-116.3788397,31.27176526,42.80103462,52.31237564
13,13,11400,47.55670513,437521.6872,Baja_Erendira,-116.3591927,31.255104,42.80103462,52.31237564
14,14,9250,47.55670513,418499.0051,Baja_San Quintin,-115.975757,30.568211,42.80103462,52.31237564
15,15,15750,47.55670513,599214.4846,Baja_San Quintin,-115.933821,30.612741,42.80103462,52.31237564
16,16,13150,47.55670513,546902.109,Baja_San Quintin,-115.956055,30.540498,42.80103462,52.31237564
17,17,18800,47.55670513,694327.8949,Baja_San Quintin,-116.039187,30.493744,42.80103462,52.31237564
