index,parcel_id,warehouse_id,distance_km,distance_m
1,1,1,10.219,10219
2,1,2,448.263,448263
3,1,3,449.0479,449047.9
4,1,4,443.7236,443723.6
5,1,5,165.7658,165765.8
6,1,6,547.0016,547001.6
7,1,7,546.0011,546001.1
8,1,8,103.8045,103804.5
9,1,9,1490.2393,1490239.3
10,1,10,1596.7202,1596720.2
11,1,11,1698.89,1698890
12,2,1,7.4722,7472.2
13,2,2,445.1017,445101.7
14,2,3,445.8866,445886.6
15,2,4,440.5623,440562.3
16,2,5,162.6045,162604.5
17,2,6,548.105,548105
18,2,7,547.1045,547104.5
19,2,8,103.9586,103958.6
20,2,9,1491.3427,1491342.7
21,2,10,1597.8236,1597823.6
22,2,11,1699.9933,1699993.3
23,3,1,9.3815,9381.5
24,3,2,447.0111,447011.1
25,3,3,447.7959,447795.9
26,3,4,442.4716,442471.6
27,3,5,164.5139,164513.9
28,3,6,546.903,546903
29,3,7,545.9025,545902.5
30,3,8,104.7899,104789.9
31,3,9,1490.1407,1490140.7
32,3,10,1596.6216,1596621.6
33,4,11,1698.7913,1698791.3
34,4,1,9.4219,9421.9
35,4,2,449.6938,449693.8
36,4,3,450.4786,450478.6
37,4,4,445.1543,445154.3
38,4,5,167.1965,167196.5
39,4,6,554.0486,554048.6
40,4,7,553.0481,553048.1
41,4,8,97.484,97484
42,4,9,1497.2862,1497286.2
43,4,10,1603.7671,1603767.1
44,4,11,1705.9369,1705936.9
45,5,1,450.7452,450745.2
46,5,2,7.7117,7711.7
47,5,3,7.3389,7338.9
48,5,4,12.3074,12307.4
49,5,5,292.65,292650
50,5,6,194.5881,194588.1
51,5,7,193.5877,193587.7
52,5,8,527.5977,527597.7
53,5,9,1083.7473,1083747.3
54,5,10,1190.2282,1190228.2
55,5,11,1292.3979,1292397.9
56,6,1,450.0382,450038.2
57,6,2,7.3527,7352.7
58,6,3,6.9896,6989.6
59,6,4,12.0083,12008.3
60,6,5,291.9429,291942.9
61,6,6,181.6742,181674.2
62,6,7,180.6737,180673.7
63,6,8,531.2505,531250.5
64,6,9,1070.8333,1070833.3
65,6,10,1177.3142,1177314.2
66,6,11,1279.4839,1279483.9
67,7,1,453.4651,453465.1
68,7,2,8.6053,8605.3
69,7,3,8.2422,8242.2
70,7,4,12.9886,12988.6
71,7,5,295.3699,295369.9
72,7,6,185.0429,185042.9
73,7,7,184.0425,184042.5
74,7,8,539.5594,539559.4
75,7,9,1074.2021,1074202.1
76,7,10,1180.683,1180683
77,7,11,1282.8527,1282852.7
78,8,1,453.9606,453960.6
79,8,2,9.0186,9018.6
80,8,3,9.7736,9773.6
81,8,4,13.4842,13484.2
82,8,5,295.8654,295865.4
83,8,6,185.0371,185037.1
84,8,7,184.0366,184036.6
85,8,8,542.9402,542940.2
86,8,9,1074.1962,1074196.2
87,8,10,1180.6771,1180677.1
88,8,11,1282.8469,1282846.9
89,9,1,443.8662,443866.2
90,9,2,2.276,2276
91,9,3,1.9129,1912.9
92,9,4,6.1681,6168.1
93,9,5,285.771,285771
94,9,6,190.4491,190449.1
95,9,7,189.4486,189448.6
96,9,8,533.1313,533131.3
97,9,9,1079.6082,1079608.2
98,9,10,1186.0891,1186089.1
99,9,11,1288.2589,1288258.9
100,10,1,447.4808,447480.8
101,10,2,3.9284,3928.4
102,10,3,3.5653,3565.3
103,10,4,9.451,9451
104,10,5,289.3856,289385.6
105,10,6,191.696,191696
106,10,7,190.6956,190695.6
107,10,8,534.442,534442
108,10,9,1080.8551,1080855.1
109,10,10,1187.3361,1187336.1
110,10,11,1289.5058,1289505.8
111,11,1,450.3989,450398.9
112,11,2,9.3015,9301.5
113,11,3,8.9287,8928.7
114,11,4,13.8972,13897.2
115,11,5,292.3037,292303.7
116,11,6,194.2418,194241.8
117,11,7,193.2414,193241.4
118,11,8,527.2514,527251.4
119,11,9,1083.401,1083401
120,11,10,1189.8819,1189881.9
121,11,11,1292.0516,1292051.6
