index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat,yield_kg_per_ha_-10%,yield_kg_per_ha_+10%
1,1,3120,6.7602442,21091.9619,Ventura,-119.1235692,34.25890847,6.08421978,7.43626862
2,2,2700,6.7602442,18252.65934,Ventura,-119.1563429,34.25391547,6.08421978,7.43626862
3,3,7840,6.7602442,53000.31453,Ventura,-119.1418967,34.2637488,6.08421978,7.43626862
4,4,10000,6.7602442,67602.442,Ventura,-119.104911,34.2212826,6.08421978,7.43626862
5,5,4800,6.7602442,32449.17216,Watsonville,-121.6999652,36.91962572,6.08421978,7.43626862
6,6,5630,6.7602442,38060.17485,Watsonville,-121.7197945,36.943825,6.08421978,7.43626862
7,7,6900,6.7602442,46645.68498,Watsonville,-121.8072828,36.95930486,6.08421978,7.43626862
8,8,11600,6.7602442,78418.83272,Watsonville,-121.8335191,36.91586478,6.08421978,7.43626862
9,9,7300,6.7602442,49349.78266,Watsonville,-121.7480686,36.90428032,6.08421978,7.43626862
10,10,9730,6.7602442,65777.17607,Watsonville,-121.7480849,36.93073472,6.08421978,7.43626862
11,11,13000,6.7602442,87883.1746,Watsonville,-121.683162,36.92716262,6.08421978,7.43626862
12,12,7450,6.7602442,50363.81929,Baja_Erendira,-116.3788397,31.27176526,6.08421978,7.43626862
13,13,11400,6.7602442,77066.78388,Baja_Erendira,-116.3591927,31.255104,6.08421978,7.43626862
14,14,9250,6.7602442,62532.25885,Baja_San Quintin,-115.975757,30.568211,6.08421978,7.43626862
15,15,15750,6.7602442,106473.8462,Baja_San Quintin,-115.933821,30.612741,6.08421978,7.43626862
16,16,13150,6.7602442,88897.21123,Baja_San Quintin,-115.956055,30.540498,6.08421978,7.43626862
17,17,18800,6.7602442,127092.591,Baja_San Quintin,-116.039187,30.493744,6.08421978,7.43626862
