index,warehouse_id,storage_cost_per_mt_dlls,capacity_mtons,capacity_lbs,name,City,State,xlon,ylat
1,1,0,66133.76755,145800000,Oxnard,Oxnard,CA,-119.169472,34.199623
2,2,1000,100000,1458000,Watsonville_Cascade,Watsonville,CA,-121.765991,36.903774
3,3,1000,150000,1458000,Watsonville_Walker,Watsonville,CA,-121.765007,36.909187
4,4,1000,100000,1458000,Watsonville_hilltop,Moss_Landing,CA,-121.776299,36.865559
5,5,1000,150000,1458000,Santa_Maria,Santa_Maria,CA,-120.4573053,34.93768732
6,6,1000,100000,1458000,Stockton_Prot_Drive,Stockton,CA,-121.3267927,37.94960699
7,7,1000,150000,1458000,Stockton_Washington_St,Stockton,CA,-121.3200295,37.9461813
8,8,1000,100000,1458000,Vernon_Bandini,Vernon,CA,-118.191444,34.003452
9,9,1000,150000,1458000,Brooks,Brooks,OR,-122.962303,45.055939
10,10,1000,100000,1458000,Woodland,Woodland,WA,-122.754898,45.915283
11,11,1000,150000,1458000,Centralia,Centralia,WA,-122.9990916,46.76067685
