index,parcel_id,depot_id,distance_km,distance_m,
1,1,1,1.4386,1438.6,
2,1,2,7.2579,7257.9,
3,1,3,12.0301,12030.1,
4,2,1,3.4696,3469.6,
5,2,2,7.4538,7453.8,
6,2,3,8.6044,8604.4,
7,3,1,2.2676,2267.6,
8,3,2,9.3631,9363.1,
9,3,3,10.5138,10513.8,
10,4,1,8.4856,8485.6,
11,4,2,5.6434,5643.4,
12,4,3,10.4156,10415.6,
13,5,1,450.6992,450699.2,
14,5,2,450.8313,450831.3,
15,5,3,451.8774,451877.4,
16,6,1,449.9922,449992.2,
17,6,2,450.1242,450124.2,
18,6,3,451.1704,451170.4,
19,7,1,453.419,453419,
20,7,2,453.551,453551,
21,7,3,454.5972,454597.2,
22,8,1,453.9146,453914.6,
23,8,2,454.0466,454046.6,
24,8,3,455.0928,455092.8,
25,9,1,443.8203,443820.3,
26,9,2,443.9523,443952.3,
27,9,3,444.9985,444998.5,
28,10,1,447.4348,447434.8,
29,10,2,447.5669,447566.9,
30,10,3,448.6131,448613.1,
31,11,1,450.3529,450352.9,
32,11,2,450.485,450485,
33,11,3,451.5311,451531.1,
