index,depot_id,warehouse_id,distance_km,distance_m
1,1,1,9.9398,9939.8
2,1,2,446.8244,446824.4
3,1,3,447.6093,447609.3
4,1,4,442.2849,442284.9
5,1,5,164.3272,164327.2
6,1,6,545.563,545563
7,1,7,544.5625,544562.5
8,1,8,105.2432,105243.2
9,1,9,1488.8007,1488800.7
10,1,10,1595.2816,1595281.6
11,1,11,1697.4513,1697451.3
12,2,1,3.7628,3762.8
13,2,2,446.9475,446947.5
14,2,3,447.7324,447732.4
15,2,4,442.408,442408
16,2,5,164.4503,164450.3
17,2,6,554.2743,554274.3
18,2,7,553.2738,553273.8
19,2,8,101.9927,101992.7
20,2,9,1497.512,1497512
21,2,10,1603.9929,1603992.9
22,2,11,1706.1626,1706162.6
23,3,1,2.7956,2795.6
24,3,2,447.7023,447702.3
25,3,3,448.4871,448487.1
26,3,4,443.1628,443162.8
27,3,5,165.205,165205
28,3,6,556.6703,556670.3
29,3,7,555.6699,555669.9
30,3,8,106.7633,106763.3
31,3,9,1499.908,1499908
32,3,10,1606.3889,1606388.9
33,3,11,1708.5587,1708558.7
